TERM	DOID
"systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease (morphologic abnormality)"	"DOID4797"
"aggressive systemic mastocytosis"	"DOID4798"
"aggressive systemic mastocytosis (morphologic abnormality)"	"DOID4798"
"asm"	"DOID4798"
"lymphadenopathic mastocytosis with eosinophilia"	"DOID4798"
"male reproductive system disease"	"DOID48"
"movement disease"	"DOID480"
"central nervous system hereditary degenerative disease"	"DOID481"
"cerebrotendinous xanthomatosis"	"DOID4810"
"cholestanol storage disease (disorder)"	"DOID4810"
"adult brainstem gliosarcoma"	"DOID4812"
"adult brain stem gliosarcoma"	"DOID4812"
"adult brain stem glioma"	"DOID4813"
"adult brainstem neuroglial tumor"	"DOID4813"
"ganglioneuroma"	"DOID4817"
"hemangioma of peripheral nerve"	"DOID482"
"adenosquamous cell lung carcinoma"	"DOID4829"
"adenosquamous lung carcinoma"	"DOID4829"
"cavernous hemangioma"	"DOID483"
"cavernoma"	"DOID483"
"cavernous haemangioma (disorder)"	"DOID483"
"cavernous hemangioma (morphologic abnormality)"	"DOID483"
"adenosquamous carcinoma"	"DOID4830"
"adenosquamous carcinoma (morphologic abnormality)"	"DOID4830"
"adenosquamous cell carcinoma (disorder)"	"DOID4830"
"mixed adenocarcinoma and squamous carcinoma"	"DOID4830"
"gorham's disease"	"DOID4837"
"disappearing bone disease (disorder)"	"DOID4837"
"essential osteolysis"	"DOID4837"
"gorham disease"	"DOID4837"
"massive osteolysis"	"DOID4837"
"phantom bone disease"	"DOID4837"
"myoepithelial carcinoma"	"DOID4838"
"sebaceous adenocarcinoma"	"DOID4839"
"adenocarcinoma of the sebaceous gland"	"DOID4839"
"vascular hemostatic disease"	"DOID484"
"sebaceous carcinoma"	"DOID4840"
"malignant neoplasm of sebaceous gland"	"DOID4840"
"malignant neoplasm of sebaceous gland"	"DOID4840"
"malignant neoplasm of sebaceous gland"	"DOID4840"
"malignant sebaceous tumor"	"DOID4840"
"subependymal glioma"	"DOID4843"
"mixed subependymoma-ependymoma"	"DOID4843"
"subependymal astrocytoma"	"DOID4843"
"subependymal astrocytoma nos"	"DOID4843"
"who grade i ependymal tumor"	"DOID4843"
"benign ependymoma"	"DOID4844"
"epithelial ependymoma"	"DOID4844"
"who grade ii ependymal tumor"	"DOID4844"
"pilomyxoid astrocytoma"	"DOID4845"
"cauda equina intradural extramedullary astrocytoma"	"DOID4846"
"intradural extramedullary astrocytic tumor of the cauda equina"	"DOID4846"
"cauda equina neoplasm"	"DOID4847"
"tumor of the cauda equina"	"DOID4847"
"cerebellar astrocytoma"	"DOID4848"
"astrocytoma of cerebellum"	"DOID4848"
"pilocytic astrocytoma"	"DOID4851"
"grade i astrocytic tumor"	"DOID4851"
"piloid astrocytoma"	"DOID4851"
"pleomorphic xanthoastrocytoma"	"DOID4852"
"pleomorphic xantho-astrocytoma"	"DOID4852"
"pilocytic astrocytoma of cerebellum"	"DOID4853"
"cerebellar pilocytic astrocytoma"	"DOID4853"
"pilocytic astrocytoma of cerebellum (disorder)"	"DOID4853"
"diencephalic astrocytomas"	"DOID4855"
"astrocytoma of diencephalon"	"DOID4855"
"gliofibroma"	"DOID4856"
"gliofibroma (morphologic abnormality)"	"DOID4856"
"pineal gland astrocytoma"	"DOID4858"
"pineal astrocytic tumor"	"DOID4858"
"glomeruloid hemangioma"	"DOID486"
"glomeruloid hemangioma (disorder)"	"DOID486"
"brain stem astrocytic neoplasm"	"DOID4860"
"brainstem astrocytoma"	"DOID4860"
"spinal cord astrocytoma"	"DOID4863"
"astrocytoma of spinal cord (disorder)"	"DOID4863"
"spinal astrocytoma"	"DOID4863"
"salivary gland adenoid cystic carcinoma"	"DOID4866"
"adenoid cystic cancer"	"DOID4866"
"adenoid cystic carcinoma (morphologic abnormality)"	"DOID4866"
"cylindroma (morphologic abnormality)"	"DOID4866"
"cylindroma nos"	"DOID4866"
"cervical adenoid cystic carcinoma"	"DOID4867"
"adenoid cystic carcinoma of the cervix uteri"	"DOID4867"
"prostate adenoid cystic carcinoma"	"DOID4868"
"adenoid cystic carcinoma of the prostate"	"DOID4868"
"laryngeal adenoid cystic carcinoma"	"DOID4869"
"adenoid cystic carcinoma of larynx"	"DOID4869"
"lacrimal gland adenoid cystic carcinoma"	"DOID4870"
"cutaneous adenocystic carcinoma"	"DOID4871"
"adenoid cystic carcinoma of the skin"	"DOID4871"
"adenoid cystic eccrine carcinoma (morphologic abnormality)"	"DOID4871"
"adenoid cystic eccrine carcinoma of skin (disorder)"	"DOID4871"
"lung adenoid cystic carcinoma"	"DOID4872"
"pulmonary adenoid cystic carcinoma"	"DOID4872"
"anterior horn cell disease"	"DOID4873"
"trachea adenoid cystic carcinoma"	"DOID4875"
"adenoid cystic carcinoma of trachea (disorder)"	"DOID4875"
"tracheal adenoid cystic carcinoma"	"DOID4875"
"trachea carcinoma"	"DOID4876"
"(trachea carcinoma) or (pancoast's tumor) or (ca trachea)"	"DOID4876"
"(trachea carcinoma) or (pancoast's tumor) or (ca trachea)"	"DOID4876"
"breast adenoid cystic carcinoma"	"DOID4877"
"mammary adenocystic carcinoma"	"DOID4877"
"esophageal adenoid cystic carcinoma"	"DOID4878"
"adenoid cystic carcinoma, esophagus"	"DOID4878"
"bartholin's gland adenoid cystic carcinoma"	"DOID4879"
"bartholin gland adenoid cystic carcinoma"	"DOID4879"
"kidney clear cell sarcoma"	"DOID4880"
" clear cell sarcoma of kidney (morphologic abnormality)"	"DOID4880"
"childhood kidney clear cell sarcoma"	"DOID4880"
"clear cell sarcoma of kidney (morphologic abnormality)"	"DOID4880"
"pediatric renal clear cell sarcoma"	"DOID4880"
"renal clear cell sarcoma"	"DOID4880"
"colorado tick fever"	"DOID4885"
"tick fever, american mountain"	"DOID4885"
"lymph node tuberculosis"	"DOID4889"
"king's evil"	"DOID4889"
"lymph node tuberculosis"	"DOID4889"
"scrofula"	"DOID4889"
"tuberculous adenitis"	"DOID4889"
"tuberculous adenitis"	"DOID4889"
"tuberculous lymphadenopathy"	"DOID4889"
"juvenile myoclonic epilepsy"	"DOID4890"
"middle ear adenocarcinoma"	"DOID4892"
"adenocarcinoma of the middle ear"	"DOID4892"
"middle ear carcinoma"	"DOID4893"
"carcinoma of the middle ear"	"DOID4893"
"rete ovarii adenocarcinoma"	"DOID4894"
"rete ovarii neoplasm"	"DOID4895"
"bile duct adenocarcinoma"	"DOID4896"
"bile duct carcinoma"	"DOID4897"
"hemangioma of lung"	"DOID490"
"pulmonary hemangioma"	"DOID490"
"peritoneal serous adenocarcinoma"	"DOID4901"
"primary peritoneal serous adenocarcinoma"	"DOID4901"
"appendix carcinoma"	"DOID4902"
"(ca appendix) or (appendix carcinoma)"	"DOID4902"
"ca appendix"	"DOID4902"
"carcinoma of appendix"	"DOID4902"
"granular cell carcinoma"	"DOID4903"
"granular cell adenocarcinoma"	"DOID4903"
"granular cell carcinoma (morphologic abnormality)"	"DOID4903"
"pancreatic carcinoma"	"DOID4905"
"carcinoma of pancreas"	"DOID4905"
"carcinoma of pancreas"	"DOID4905"
"carcinoma of pancreas"	"DOID4905"
"carcinoma of pancreas (disorder)"	"DOID4905"
"exocrine pancreas carcinoma"	"DOID4905"
"small intestine adenocarcinoma"	"DOID4906"
"small intestinal adenocarcinoma"	"DOID4906"
"small intestine carcinoma"	"DOID4907"
"small intestinal carcinoma"	"DOID4907"
"anal carcinoma"	"DOID4908"
"ca anus"	"DOID4908"
"carcinoma of anus"	"DOID4908"
"urethra adenocarcinoma"	"DOID4910"
"adenocarcinoma of the urethra"	"DOID4910"
"esophagus adenocarcinoma"	"DOID4914"
"adenocarcinoma of esophagus (disorder)"	"DOID4914"
"oesophageal adenocarcinoma nos"	"DOID4914"
"basophilic carcinoma"	"DOID4915"
"basophil adenocarcinoma"	"DOID4915"
"basophil carcinoma (morphologic abnormality)"	"DOID4915"
"pituitary carcinoma"	"DOID4916"
"carcinoma of the pituitary gland"	"DOID4916"
"villous adenocarcinoma"	"DOID4917"
"villous adenocarcinoma (morphologic abnormality)"	"DOID4917"
"renal pelvis adenocarcinoma"	"DOID4918"
"adenocarcinoma of the kidney pelvis"	"DOID4918"
"renal pelvis carcinoma"	"DOID4919"
"carcinoma of kidney pelvis"	"DOID4919"
"malignant neoplasm of renal pelvis"	"DOID4919"
"malignant neoplasm of renal pelvis nos (disorder)"	"DOID4919"
"malignant renal pelvis neoplasm"	"DOID4919"
"malignant tumor of renal pelvis (disorder)"	"DOID4919"
"renal pelvis cancer"	"DOID4919"
"acquired hemangioma"	"DOID492"
"eccrine adenocarcinoma"	"DOID4920"
"eccrine adenocarcinoma"	"DOID4920"
"eccrine adenocarcinoma (morphologic abnormality)"	"DOID4920"
"eccrine sweat gland cancer"	"DOID4921"
"malignant eccrine skin neoplasm"	"DOID4921"
"malignant eccrine tumor"	"DOID4921"
"breast secretory carcinoma"	"DOID4922"
"juvenile breast carcinoma"	"DOID4922"
"juvenile carcinoma of the breast (morphologic abnormality)"	"DOID4922"
"juvenile secretory carcinoma of breast"	"DOID4922"
"thymus adenocarcinoma"	"DOID4923"
"adenocarcinoma of the thymus"	"DOID4923"
"bronchiolo-alveolar adenocarcinoma"	"DOID4926"
"alveolar adenocarcinoma (morphologic abnormality)"	"DOID4926"
"bronchioalveolar lung carcinoma"	"DOID4926"
"bronchiolo-alveolar adenocarcinoma (morphologic abnormality)"	"DOID4926"
"bronchioloalveolar adenocarcinoma"	"DOID4926"
"bronchioloalveolar carcinoma (disorder)"	"DOID4926"
"klatskin's tumor"	"DOID4927"
"hilar cholangiocarcinoma"	"DOID4927"
"klatskin tumor"	"DOID4927"
"klatskin's tumor (disorder)"	"DOID4927"
"klatskin's tumor (morphologic abnormality)"	"DOID4927"
"perihilar extrahepatic bile duct carcinoma"	"DOID4927"
"intrahepatic cholangiocarcinoma"	"DOID4928"
"intrahepatic bile duct carcinoma (disorder)"	"DOID4928"
"peripheral cholangiocarcinoma"	"DOID4928"
"tubular adenocarcinoma"	"DOID4929"
"tubular adenocarcinoma (morphologic abnormality)"	"DOID4929"
"tubular carcinoma"	"DOID4929"
"nasal cavity adenocarcinoma"	"DOID4930"
"adenocarcinoma of the nasal cavity"	"DOID4930"
"nasal cavity carcinoma"	"DOID4931"
"cancer of nasal cavity"	"DOID4931"
"ampulla of vater carcinoma"	"DOID4932"
"ampullary carcinoma"	"DOID4932"
"carcinoma of ampulla of vater (disorder)"	"DOID4932"
"apocrine adenocarcinoma"	"DOID4933"
"apocrine adenocarcinoma (morphologic abnormality)"	"DOID4933"
"apocrine carcinoma"	"DOID4933"
"apocrine gland carcinoma"	"DOID4933"
"carcinoma of the apocrine gland"	"DOID4933"
"apocrine sweat gland cancer"	"DOID4934"
"malignant apocrine tumor"	"DOID4934"
"ureter adenocarcinoma"	"DOID4938"
"ureteral adenocarcinoma"	"DOID4938"
"ureter carcinoma"	"DOID4939"
"ureteral carcinoma"	"DOID4939"
"adenocarcinoma in situ"	"DOID4943"
"adenocarcinoma in situ (morphologic abnormality)"	"DOID4943"
"gastroesophageal junction adenocarcinoma"	"DOID4944"
"adenocarcinoma of cardioesophageal junction"	"DOID4944"
"cholangiocarcinoma"	"DOID4947"
"adult primary cholangiocarcinoma"	"DOID4947"
"adult primary cholangiocellular carcinoma"	"DOID4947"
"cholangiosarcoma"	"DOID4947"
"gallbladder carcinoma"	"DOID4948"
"cancer of the gallbladder"	"DOID4948"
"carcinoma gallbladder"	"DOID4948"
"carcinoma gallbladder"	"DOID4948"
"carcinoma gallbladder"	"DOID4948"
"carcinoma of gallbladder (disorder)"	"DOID4948"
"sclerosing hemangioma"	"DOID495"
"sclerosing haemangioma"	"DOID495"
"sclerosing haemangioma"	"DOID495"
"sclerosing hemangioma"	"DOID495"
"postpoliomyelitis syndrome"	"DOID4952"
"postpolio syndrome"	"DOID4952"
"poliomyelitis"	"DOID4953"
"central nervous system melanocytic neoplasm"	"DOID4955"
"melanocytic tumor of the cns"	"DOID4955"
"meninges hemangiopericytoma"	"DOID4957"
"hemangiopericytoma of meninges (disorder)"	"DOID4957"
"meningeal hemangiopericytoma"	"DOID4957"
"epidermolysis bullosa dystrophica"	"DOID4959"
"dystrophic epidermolysis bullosa"	"DOID4959"
"dystrophic epidermolysis bullosa (disorder)"	"DOID4959"
"spindle cell hemangioma"	"DOID496"
"sch"	"DOID496"
"spindle cell angioendothelioma"	"DOID496"
"spindle cell hemangioendothelioma [dup] (morphologic abnormality)"	"DOID496"
"spindle cell hemangioma (disorder)"	"DOID496"
"bone marrow cancer"	"DOID4960"
"bone marrow neoplasm"	"DOID4960"
"bone marrow tumor"	"DOID4960"
"malignant bone marrow tumor"	"DOID4960"
"malignant neoplasm of bone marrow"	"DOID4960"
"myeloid neoplasm (morphologic abnormality)"	"DOID4960"
"myeloproliferative disease"	"DOID4960"
"myeloproliferative disease nos"	"DOID4960"
"myeloproliferative disease, no icd-o subtype (morphologic abnormality)"	"DOID4960"
"myeloproliferative disease, nos"	"DOID4960"
"myeloproliferative disorder"	"DOID4960"
"myeloproliferative disorder (morphologic abnormality)"	"DOID4960"
"myeloproliferative neoplasm"	"DOID4960"
"myeloproliferative tumors"	"DOID4960"
"neoplasm of bone marrow (disorder)"	"DOID4960"
"primary malignant neoplasm of bone marrow (disorder)"	"DOID4960"
"bone marrow disease"	"DOID4961"
"bone marrow disorder"	"DOID4961"
"pericardial tuberculosis"	"DOID4962"
"tuberculous pericarditis"	"DOID4962"
"neurotic disorder"	"DOID4964"
"depressive neurosis"	"DOID4964"
"neurosis"	"DOID4964"
"neurotic depression"	"DOID4964"
"neurotic depression reactive type"	"DOID4964"
"neurotic depressive state"	"DOID4964"
"psychoneurosis nos"	"DOID4964"
"reactive depression"	"DOID4964"
"nelson syndrome"	"DOID4968"
"nelson syndrome (disorder)"	"DOID4968"
"nelson's syndrome"	"DOID4968"
"gerstmann syndrome"	"DOID4969"
"aphasia-angular gyrus syndrome (disorder)"	"DOID4969"
"prosopagnosia"	"DOID4970"
"myelofibrosis"	"DOID4971"
"agnogenic myeloid metaplasia"	"DOID4971"
"aleukemic myelosis"	"DOID4971"
"bone marrow fibrosis"	"DOID4971"
"megakaryocytic myelosclerosis"	"DOID4971"
"myelosclerosis"	"DOID4971"
"primary myelofibrosis"	"DOID4971"
"myelodysplastic myeloproliferative cancer"	"DOID4972"
"myeloproliferative/myelodysplastic syndromes"	"DOID4972"
"actinobacillosis"	"DOID4974"
"actinobacillosis, nos"	"DOID4974"
"elephantiasis"	"DOID4976"
"elephantiasis nos"	"DOID4976"
"lymphedema"	"DOID4977"
"lymphatic edema (morphologic abnormality)"	"DOID4977"
"lymphoedema nos"	"DOID4977"
"extraosseous ewings sarcoma-primitive neuroepithelial tumor"	"DOID4985"
"extraosseous ewing's tumor"	"DOID4985"
"nonparalytic poliomyelitis"	"DOID4986"
"acute nonparalytic poliomyelitis"	"DOID4986"
"non-paralytic aseptic meningitis"	"DOID4986"
"alcoholic pancreatitis"	"DOID4988"
"pancreatitis"	"DOID4989"
"essential tremor"	"DOID4990"
"benign essential tremor"	"DOID4990"
"essential hereditary tremor"	"DOID4990"
"shaky hand syndrome"	"DOID4990"
"optic nerve astrocytoma"	"DOID4991"
"astrocytic tumor of optic nerve"	"DOID4991"
"optic tract astrocytoma"	"DOID4991"
"optic nerve glioma"	"DOID4992"
"glioma of the optic nerve"	"DOID4992"
"atypical polypoid adenomyoma"	"DOID4993"
"atypical polypoid adenomyoma"	"DOID4993"
"atypical polypoid adenomyoma (morphologic abnormality)"	"DOID4993"
"adenomyoma of uterine corpus"	"DOID4994"
"adenomyoma of corpus uteri"	"DOID4994"
"cervical adenomyoma"	"DOID4995"
"camurati-engelmann disease"	"DOID4997"
"diaphyseal dysplasia"	"DOID4997"
"engelman's disease"	"DOID4997"
"progressive diaphyseal dysplasia"	"DOID4997"
"trichorhinophalangeal syndrome type ii"	"DOID4998"
"langer-giedion syndrome"	"DOID4998"
"trichorhinophalangeal dysplasia type ii"	"DOID4998"
"thyroid gland disease"	"DOID50"
"eunuchism"	"DOID5003"
"eunuchism (disorder)"	"DOID5003"
"central nervous system hemangioma"	"DOID501"
"hemangioma of cns"	"DOID501"
"hepatocellular fibrolamellar carcinoma"	"DOID5015"
"fibrolamellar hepatocellular carcinoma (disorder)"	"DOID5015"
"hepatocellular carcinoma, fibrolamellar (morphologic abnormality)"	"DOID5015"
"oncocytic hepatocellular tumor"	"DOID5015"
"hepatocellular clear cell carcinoma"	"DOID5016"
"clear cell carcinoma of the liver cells"	"DOID5016"
"central nervous system mesenchymal non-meningothelial tumor"	"DOID502"
"non-meningothelial mesenchymal tumor"	"DOID502"
"aflatoxins-related hepatocellular carcinoma"	"DOID5022"
"sclerosing hepatic carcinoma"	"DOID5026"
"sclerosing hepatic carcinoma"	"DOID5026"
"sclerosing hepatocellular carcinoma"	"DOID5026"
"pineal parenchymal tumor of intermediate differentiation"	"DOID5030"
"pineal parenchymal tumor of intermediate differentiation"	"DOID5030"
"pineal parenchymal tumor of intermediate differentiation (morphologic abnormality)"	"DOID5030"
"pineal parenchymal tumour of intermediate differentiation"	"DOID5030"
"adult pineal parenchymal tumor"	"DOID5031"
"adult pineal parenchymal neoplasm"	"DOID5031"
"pineal gland cancer"	"DOID5032"
"malignant pineal region tumor"	"DOID5032"
"malignant tumor of pineal gland (disorder)"	"DOID5032"
"neoplasm of pineal gland (disorder)"	"DOID5032"
"neoplasm of the pineal region"	"DOID5032"
"pineal body neoplasm"	"DOID5032"
"pinealoma (disorder)"	"DOID5032"
"pineocytic tumor"	"DOID5032"
"tumor of the pineal region"	"DOID5032"
"myoblastoma"	"DOID5039"
"benign granular cell tumor"	"DOID5039"
"malignant granular cell esophageal tumor"	"DOID5040"
"granular cell tumor of esophagus"	"DOID5040"
"esophageal cancer"	"DOID5041"
"ca lower third oesophagus"	"DOID5041"
"ca middle third oesophagus"	"DOID5041"
"esophagus cancer"	"DOID5041"
"malignant neoplasm of distal third of esophagus"	"DOID5041"
"malignant neoplasm of lower third of oesophagus"	"DOID5041"
"malignant neoplasm of middle third of oesophagus"	"DOID5041"
"malignant neoplasm of proximal third of esophagus"	"DOID5041"
"malignant neoplasm of upper third esophagus"	"DOID5041"
"malignant tumor of abdominal esophagus"	"DOID5041"
"malignant tumor of distal third of esophagus"	"DOID5041"
"malignant tumor of proximal third of esophagus"	"DOID5041"
"malignant tumor of the middle third of the esophagus"	"DOID5041"
"malignant granular cell myoblastoma"	"DOID5042"
"granular cell tumor, malignant (morphologic abnormality)"	"DOID5042"
"malignant granular cell neoplasm"	"DOID5042"
"malignant granular cell tumor (disorder)"	"DOID5042"
"vulvar granular cell tumor"	"DOID5043"
"cardiac granular cell neoplasm"	"DOID5044"
"granular cell tumor of heart"	"DOID5044"
"mediastinal granular cell myoblastoma"	"DOID5046"
"granular cell tumor of mediastinum"	"DOID5046"
"neurohypophysis granular cell tumor"	"DOID5047"
"posterior pituitary gland neoplasm"	"DOID5048"
"posterior pituitary tumor"	"DOID5048"
"hobnail hemangioma"	"DOID505"
"ehrlich tumor carcinoma"	"DOID5050"
"ehrlich's tumor"	"DOID5050"
"melioidosis"	"DOID5052"
"acute and fulminating melioidosis"	"DOID5052"
"melioidosis, unspecified (disorder)"	"DOID5052"
"nightcliff gardener's disease"	"DOID5052"
"pseudoglanders"	"DOID5052"
"pseudoglanders (disorder)"	"DOID5052"
"subacute and chronic melioidosis"	"DOID5052"
"whitmore's disease"	"DOID5052"
"adult cerebellar neoplasm"	"DOID5056"
"tumor of adult cerebellum"	"DOID5056"
"papillary meningioma of the cerebellum"	"DOID5057"
"papillary meningioma of cerebellum"	"DOID5057"
"rhabdoid meningioma"	"DOID5058"
"meningioma, rhabdoid (morphologic abnormality)"	"DOID5058"
"papillary meningioma"	"DOID5058"
"papillary meningioma"	"DOID5058"
"papillary meningioma (morphologic abnormality)"	"DOID5058"
"rhabdoid meningioma"	"DOID5058"
"childhood cerebellar neoplasm"	"DOID5059"
"pediatric tumor of cerebellum"	"DOID5059"
"phencyclidine abuse"	"DOID5062"
"pcp abuse (disorder)"	"DOID5062"
"phencyclidine abuse"	"DOID5062"
"basosquamous carcinoma"	"DOID5063"
"basisquamous cell carcinoma"	"DOID5063"
"basosquamous cell carcinoma"	"DOID5063"
"metatypical carcinoma (morphologic abnormality)"	"DOID5063"
"adjustment disorder"	"DOID507"
"adjustment disease"	"DOID507"
"adjustment reaction"	"DOID507"
"malignant ependymoma"	"DOID5074"
"ependymal neoplasm"	"DOID5074"
"ependymal tumors"	"DOID5074"
"myxopapillary ependymoma"	"DOID5075"
"myxopapillary ependymoma"	"DOID5075"
"myxopapillary ependymoma (morphologic abnormality)"	"DOID5075"
"mixed glioma"	"DOID5076"
"mixed glioma (morphologic abnormality)"	"DOID5076"
"mixed gliomas"	"DOID5076"
"mixed neuroglial tumor"	"DOID5076"
"subependymal giant cell astrocytoma"	"DOID5077"
"sega"	"DOID5077"
"subependymal giant cell astrocytoma (morphologic abnormality)"	"DOID5077"
"ganglioglioma"	"DOID5078"
"adult ganglioglioma"	"DOID5078"
"childhood ganglioglioma"	"DOID5078"
"cns ganglioglioma"	"DOID5078"
"liver cirrhosis"	"DOID5082"
"cirrhosis"	"DOID5082"
"cirrhosis of liver"	"DOID5082"
"iodine hypothyroidism"	"DOID5083"
"iodine hypothyroidism (disorder)"	"DOID5083"
"mixed epithelial stromal tumour"	"DOID5088"
"sternum cancer"	"DOID5090"
"malignant sternal neoplasm"	"DOID5090"
"malignant sternal tumor"	"DOID5090"
"neoplasm of sternum (disorder)"	"DOID5090"
"sternal tumor"	"DOID5090"
"thoracic cancer"	"DOID5093"
"thoracic tumor"	"DOID5093"
"thorax cancer"	"DOID5093"
"thorax neoplasm"	"DOID5093"
"tumor of thorax (disorder)"	"DOID5093"
"middle ear cancer"	"DOID5099"
"neoplasm of middle ear (disorder)"	"DOID5099"
"tumor of the middle ear"	"DOID5099"
"middle ear disease"	"DOID5100"
"disorder of middle ear (disorder)"	"DOID5100"
"middle ear disease - other"	"DOID5100"
"middle ear disease - other (disorder)"	"DOID5100"
"middle ear disorder"	"DOID5100"
"middle ear disorder"	"DOID5100"
"middle ear problem (finding)"	"DOID5100"
"auricular cancer"	"DOID5101"
"malignant tumor of ear"	"DOID5101"
"inner ear cancer"	"DOID5102"
"testicular infarct"	"DOID5104"
"infarction of testis (disorder)"	"DOID5104"
"testicular infarction"	"DOID5104"
"swayback"	"DOID5112"
"swayback of sheep (disorder)"	"DOID5112"
"nutritional deficiency disease"	"DOID5113"
"dermoid cyst of ovary"	"DOID5117"
"dermoid cyst (& [ovarian])"	"DOID5117"
"dermoid cyst (& [ovarian])"	"DOID5117"
"dermoid cyst of ovary"	"DOID5117"
"dermoid cyst of ovary (disorder)"	"DOID5117"
"ovarian dermoid cyst"	"DOID5117"
"ovarian cystic teratoma"	"DOID5118"
"ovarian cyst"	"DOID5119"
"epididymal neoplasm"	"DOID512"
"neoplasm of epididymis (disorder)"	"DOID512"
"mediastinum leiomyoma"	"DOID5123"
"leiomyoma of mediastinum"	"DOID5123"
"fallopian tube leiomyoma"	"DOID5124"
"extrahepatic bile duct leiomyoma"	"DOID5125"
"leiomyoma of the extrahepatic bile duct"	"DOID5125"
"central nervous system leiomyoma"	"DOID5126"
"leiomyoma of cns"	"DOID5126"
"bizarre leiomyoma"	"DOID5127"
"atypical leiomyoma"	"DOID5127"
"pleomorphic leiomyoma"	"DOID5127"
"symplastic leiomyoma"	"DOID5127"
"deep leiomyoma"	"DOID5128"
"simple partial epilepsy"	"DOID5129"
"leiomyoma cutis"	"DOID5132"
"cutaneous leiomyoma (disorder)"	"DOID5132"
"leiomyoma of the skin"	"DOID5132"
"anus leiomyoma"	"DOID5134"
"leiomyoma of anus"	"DOID5134"
"lung leiomyoma"	"DOID5136"
"pulmonary leiomyoma"	"DOID5136"
"pericardium leiomyoma"	"DOID5137"
"leiomyoma of pericardium"	"DOID5137"
"leiomyomatosis"	"DOID5138"
"leiomyomatosis, no icd-o subtype (morphologic abnormality)"	"DOID5138"
"cellular leiomyoma"	"DOID5139"
"cellular leiomyoma (morphologic abnormality)"	"DOID5139"
"gallbladder leiomyoma"	"DOID5140"
"leiomyoma of the gallbladder"	"DOID5140"
"vulvar leiomyoma"	"DOID5142"
"large bowel leiomyoma"	"DOID5143"
"leiomyoma of large intestine"	"DOID5143"
"appendix leiomyoma"	"DOID5146"
"appendiceal leiomyoma"	"DOID5146"
"dartoic leiomyoma"	"DOID5147"
"dartoic leiomyoma"	"DOID5147"
"dartoic myoma (disorder)"	"DOID5147"
"epithelioid neurofibroma"	"DOID5149"
"epithelioid neurofibroma"	"DOID5149"
"epithelioid neurofibroma (disorder)"	"DOID5149"
"neurofibroma of gallbladder"	"DOID5150"
"neurofibroma of the gallbladder"	"DOID5150"
"plexiform neurofibroma"	"DOID5151"
"cellular neurofibroma"	"DOID5152"
"atypical neurofibroma"	"DOID5153"
"borna disease"	"DOID5154"
"enzootic encephalomyelitis"	"DOID5154"
"multiple mucosal neuroma"	"DOID5155"
"benign pleural mesothelioma"	"DOID5157"
"mesothelioma of pleura"	"DOID5157"
"pleural cancer"	"DOID5158"
"neoplasm of pleura"	"DOID5158"
"pleural tumor"	"DOID5158"
"arteriosclerosis obliterans"	"DOID5160"
"arteriosclerosis obliterans (disorder)"	"DOID5160"
"arteriosclerosis obliterans (disorder) [ambiguous]"	"DOID5160"
"monckeberg arteriosclerosis"	"DOID5161"
"arteriolosclerosis"	"DOID5162"
"arteriolosclerosis (morphologic abnormality)"	"DOID5162"
"uterine corpus sarcoma"	"DOID5165"
"sarcoma of corpus uteri"	"DOID5165"
"sarcoma of uterus (disorder)"	"DOID5165"
"endometrial stromal tumor"	"DOID5166"
"endometrial stromal neoplasm"	"DOID5166"
"endometrial stromal tumor (morphologic abnormality)"	"DOID5166"
"ovarian endometrioid stromal sarcoma"	"DOID5169"
"vaginal endometrial stromal sarcoma"	"DOID5170"
"vaginal endometrial stromal tumor"	"DOID5171"
"endometrium carcinoma in situ"	"DOID5172"
"carcinoma in situ of endometrium (disorder)"	"DOID5172"
"endometrial carcinoma in situ"	"DOID5172"
"renal wilms' tumor"	"DOID5176"
"nonanaplastic renal wilm's tumor"	"DOID5176"
"metachronous kidney wilms' tumor"	"DOID5178"
"mixed cell type kidney wilms' tumor"	"DOID5179"
"mixed cell type renal wilms tumor"	"DOID5179"
"scrotum neoplasm"	"DOID518"
"malignant scrotal neoplasm"	"DOID518"
"malignant tumor of scrotum (disorder)"	"DOID518"
"malignant tumour of scrotum"	"DOID518"
"neoplasm of scrotum (disorder)"	"DOID518"
"scrotal ca"	"DOID518"
"scrotal tumor"	"DOID518"
"scrotum cancer"	"DOID518"
"blastema predominant kidney wilms' tumor"	"DOID5182"
"blastema predominant kidney adenosarcoma"	"DOID5182"
"blastema predominant renal wilms tumor"	"DOID5182"
"hereditary wilms' tumor"	"DOID5183"
"hereditary wilms tumor"	"DOID5183"
"wt1"	"DOID5183"
"epithelial predominant wilms' tumor"	"DOID5189"
"epithelial predominant kidney adenosarcoma"	"DOID5189"
"epithelial predominant renal wilms tumor"	"DOID5189"
"aortitis"	"DOID519"
"aortitis (disorder)"	"DOID519"
"aortitis nos"	"DOID519"
"cervical wilms' tumor"	"DOID5190"
"stromal predominant kidney wilms' tumor"	"DOID5191"
"stromal predominant renal wilms tumor"	"DOID5191"
"nodular ganglioneuroblastoma"	"DOID5193"
"intermixed schwannian stroma-rich ganglioneuroblastoma"	"DOID5194"
"peripheral nervous system ganglioneuroblastoma"	"DOID5195"
"pns ganglioneuroblastoma"	"DOID5195"
"fallopian tube adenomatoid tumor"	"DOID5196"
"ureteral obstruction"	"DOID5199"
